"","data_format","date","time","egmplotcode","RecNo","CO2 Ref","Atm_press","Flow_rate","H2O","H2O_temp","O2","Cod_err","Out_vltg","PAR","Tsoil","Tair","RH","25","11","60","0.2006","0.1983","Day","Month","Hour","Min","Ap_Code","sample_code","Data","Plot","Round","Sample_code1","Sample_code2","(subplot)"
"1","M5",2022-04-28,1899-12-31 08:11:08,181,1381,487,906.7,407,0,0,0,20,0,0,0,0,0,25,11,60,0.2006,0.1983,"20","2-","18","9-",2,"198+199",2022-04-28,3,NA,198,199,NA
"2","M5",2022-04-28,1899-12-31 08:11:09,181,1382,487,906.6,410,0,0,0,20,0,0,0,0,0,25,11,60,0.2006,0.1983,"20","2-","18","9-",2,"198+199",2022-04-28,3,NA,198,199,NA
"3","M5",2022-04-28,1899-12-31 08:11:10,181,1383,487,906.5,410,0,0,0,20,0,0,0,0,0,25,11,60,0.2006,0.1983,"20","2-","18","9-",2,"198+199",2022-04-28,3,NA,198,199,NA
"4","R5",2022-04-28,1899-12-31 08:11:02,181,1375,486,906.3,399,0,0,0,0,0,0,0,0,0,25,11,60,0.2006,0.1983,"20","2-","18","9-",2,"198+199",2022-04-28,3,NA,198,199,NA
"5","End",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","M3",2022-04-28,1899-12-31 08:11:14,181,1387,487,906.2,410,0,0,0,50,0,0,0,0,0,NA,NA,NA,NA,NA,"20","2-","18","9-",2,"198+199",2022-04-28,3,NA,198,199,NA
"7","M3",2022-04-28,1899-12-31 08:11:19,181,1392,488,906.1,410,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"20","2-","18","9-",2,"198+199",2022-04-28,3,NA,198,199,NA
"8","M3",2022-04-28,1899-12-31 08:11:24,181,1397,488,906,408,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"20","2-","18","9-",2,"198+199",2022-04-28,3,NA,198,199,NA
"9","M3",2022-04-28,1899-12-31 08:11:29,181,1402,489,906,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"20","2-","18","9-",2,"198+199",2022-04-28,3,NA,198,199,NA
"10","M3",2022-04-28,1899-12-31 08:11:34,181,1407,490,905.9,408,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"20","2-","18","9-",2,"198+199",2022-04-28,3,NA,198,199,NA
"11","M3",2022-04-28,1899-12-31 08:11:39,181,1412,491,905.9,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"20","2-","18","9-",2,"198+199",2022-04-28,3,NA,198,199,NA
"12","M3",2022-04-28,1899-12-31 08:11:44,181,1417,491,905.9,408,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"20","2-","18","9-",2,"198+199",2022-04-28,3,NA,198,199,NA
"13","Start",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","M5",2022-04-28,1899-12-31 08:11:48,181,1421,492,905.9,409,0,0,0,0,0,0,0,0,0,20,0,1,0,0,"20","2-","18","9-",2,"198+199",2022-04-28,3,NA,198,199,NA
"15","M5",2022-04-28,1899-12-31 08:11:49,181,1422,492,905.9,410,0,0,0,0,0,0,0,0,0,20,0,2,0,0,"20","2-","18","9-",2,"198+199",2022-04-28,3,NA,198,199,NA
"16","M5",2022-04-28,1899-12-31 08:11:50,181,1423,492,906,409,0,0,0,0,0,0,0,0,0,20,0,3,0,0,"20","2-","18","9-",2,"198+199",2022-04-28,3,NA,198,199,NA
"17","M5",2022-04-28,1899-12-31 08:11:51,181,1424,492,906,408,0,0,0,0,0,0,0,0,0,20,0,4,0,0,"20","2-","18","9-",2,"198+199",2022-04-28,3,NA,198,199,NA
