;data_format;date;time;egmplotcode;RecNo;CO2 Ref;Atm_press;Flow_rate;H2O;H2O_temp;O2;Cod_err;Out_vltg;PAR;Tsoil;Tair;RH;...18;...19;...20;...21;...22;Day;Month;Hour;Min;Ap_code;sample_code;Data;Plot;Round;Sample_code1;Sample_code2
1;M3;29/04/2022;8:38:37;1;1095;435;893.9;415;0;0;0;24;0;0;0;0;0;NA;NA;NA;NA;NA;29;4;8;38;NA;NA;NA;NA;NA;NA;NA
2;M3;29/04/2022;8:38:42;1;1100;438;894;415;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;29;4;8;38;NA;NA;NA;NA;NA;NA;NA
3;M3;29/04/2022;8:38:47;1;1105;444;894;415;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;29;4;8;38;NA;NA;NA;NA;NA;NA;NA
4;M3;29/04/2022;8:38:52;1;1110;447;894.1;415;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;29;4;8;38;NA;NA;NA;NA;NA;NA;NA
5;M3;29/04/2022;8:38:57;1;1115;445;894.1;415;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;29;4;8;38;NA;NA;NA;NA;NA;NA;NA
6;M3;29/04/2022;8:39:02;1;1120;445;894.1;415;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;29;4;8;39;NA;NA;NA;NA;NA;NA;NA
7;M3;29/04/2022;8:39:07;1;1125;447;894.1;416;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;29;4;8;39;NA;NA;NA;NA;NA;NA;NA
8;M3;29/04/2022;8:39:12;1;1130;447;894.2;415;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;29;4;8;39;NA;NA;NA;NA;NA;NA;NA
9;M3;29/04/2022;8:39:17;1;1135;447;894.2;415;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;29;4;8;39;NA;NA;NA;NA;NA;NA;NA
10;M3;29/04/2022;8:39:22;1;1140;445;894.2;415;0;0;0;25;0;0;0;0;0;NA;NA;NA;NA;NA;29;4;8;39;NA;NA;NA;NA;NA;NA;NA
11;M3;29/04/2022;8:39:27;1;1145;446;894.2;415;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;29;4;8;39;NA;NA;NA;NA;NA;NA;NA
12;M3;29/04/2022;8:39:32;1;1150;446;894.2;415;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;29;4;8;39;NA;NA;NA;NA;NA;NA;NA
13;M3;29/04/2022;8:39:37;1;1155;446;894.2;415;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;29;4;8;39;NA;NA;NA;NA;NA;NA;NA
14;M3;29/04/2022;8:39:42;1;1160;446;894.3;415;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;29;4;8;39;NA;NA;NA;NA;NA;NA;NA
