"","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","1_12_4_27",0.834935988620198,0.999360290987116,4,27,8,44,12,0,0.088357157
"2","0_12_4_27",-1.62737858562909,0.741063941809555,4,27,8,45,12,0,0.088357157
"3","2_133_4_27",0.576034132388208,0.997024596108057,4,27,8,46,133,0,0.088357157
"4","3_6_4_27",1.22979637171418,0.999721605467965,4,27,8,48,6,0,0.088357157
"5","0_6_4_27",-3.39110735418427,0.781801699145906,4,27,8,50,6,0,0.088357157
"6","4_7_4_27",0.792993118528525,0.999503578513022,4,27,8,51,7,0,0.088357157
"7","0_7_4_27",-2.52821158690182,0.586883290109041,4,27,8,52,7,0,0.088357157
"8","5_11_4_27",0.700131222965636,0.997583464905036,4,27,8,53,11,0,0.088357157
"9","6_8_4_27",0.431454647651167,0.996308940049593,4,27,8,55,8,0,0.088357157
"10","0_8_4_27",0.463116252529881,0.0682585605405063,4,27,8,57,8,0,0.088337419
"11","7_29+30_4_27",0.0947523145101094,0.954670092618632,4,27,8,58,29,30,0.088357157
"12","8_33+34_4_27",0.107966603498672,0.969263818770688,4,27,9,0,33,34,0.088357157
"13","9_13+14_4_27",0.155918589424379,0.985063293526528,4,27,9,2,13,14,0.088357157
"14","10_25+26_4_27",0.29682636116415,0.995779833467215,4,27,9,4,25,26,0.088357157
"15","11_21+22_4_27",0.142084707516056,0.952298623757097,4,27,9,6,21,22,0.088357157
"16","12_17+18_4_27",0.139176303509828,0.964319583397619,4,27,9,8,17,18,0.088357157
"17","13_49+50_4_27",0.101184986282176,0.966393927535601,4,27,9,11,49,50,0.088317681
"18","14_57+58_4_27",0.114499318801094,0.961992302343365,4,27,9,13,57,58,0.088317681
"19","15_61+65_4_27",0.103341231187747,0.885909601382926,4,27,9,15,61,65,0.08832755
"20","16_69+70_4_27",0.0139566235043351,0.0510775969264759,4,27,9,18,69,70,0.088317681
"21","0_69+70_4_27",0.0574912891986062,0.653661464585837,4,27,9,17,69,70,0.088317681
"22","17_62+63_4_27",0.151627835549123,0.986871963020715,4,27,9,20,62,63,0.08832755
"23","18_53+54_4_27",0.0712966262484337,0.921858403804976,4,27,9,22,53,54,0.08832755
"24","19_47_4_27",1.16527416588277,0.997821601939148,4,27,9,24,47,0,0.088317681
"25","20_45_4_27",0.340637046053969,0.992646109906757,4,27,9,26,45,0,0.088317681
"26","21_43_4_27",0.393712006499982,0.987528226684763,4,27,9,29,43,0,0.08832755
"27","22_48_4_27",0.216160388821385,0.898929811986211,4,27,9,31,48,0,0.08832755
"28","0_48_4_27",-2.9938080495355,0.924409976292007,4,27,9,30,48,0,0.08832755
"29","23_46_4_27",0.642420092587425,0.998406744239107,4,27,9,33,46,0,0.088337419
"30","24_44_4_27",0.356682867557715,0.983231973171122,4,27,9,36,44,0,0.088337419
"31","25_84_4_27",0.61150621751199,0.998806168669429,4,27,9,38,84,0,0.088317681
"32","26_82_4_27",0.646568131134455,0.979392753293492,4,27,9,40,82,0,0.088317681
"33","27_80_4_27",0.311202553177705,0.993564114732478,4,27,9,42,80,0,0.08832755
"34","28_83_4_27",1.79968337526331,0.99967659898681,4,27,9,44,83,0,0.08832755
"35","29_81_4_27",0.283463896457768,0.98680219781391,4,27,9,46,81,0,0.08832755
"36","30_79_4_27",0.343668732363216,0.972026163615293,4,27,9,48,79,0,0.08832755
"37","31_93+94_4_27",0.0130475033269687,0.23076172550835,4,27,9,51,93,94,0.088337419
"38","32_105+106_4_27",0.0592231607130802,0.885639737006043,4,27,9,53,105,106,0.088337419
"39","33_101+102_4_27",0.0383758606723368,0.744505728436632,4,27,9,55,101,102,0.088337419
"40","34_97+98_4_27",0.0739537999207842,0.92906363254392,4,27,9,56,97,98,0.088337419
"41","35_90+91_4_27",0.104238650473694,0.971164838284817,4,27,9,58,90,91,0.088337419
"42","36_85+86_4_27",0.291981545162627,0.99565165819097,4,27,10,0,85,86,0.088337419
"43","37_574+575_4_27",0.458396817906007,0.998332735386853,4,27,10,4,574,575,0.088386764
"44","38_210+571_4_27",0.196600822589856,0.991405725016183,4,27,10,6,210,571,0.088386764
"45","39_568+699_4_27",0.208442937565016,0.988267485916994,4,27,10,8,568,699,0.088386764
"46","40_579+578_4_27",0.168404324872288,0.988002573482772,4,27,10,10,579,578,0.088376895
"47","41_209+564_4_27",0.190401427543839,0.985997159302969,4,27,10,12,209,564,0.088406502
"48","42_201+202_4_27",0.100647138964587,0.963746907454052,4,27,10,14,201,202,0.088396633
"49","43_118_4_27",0.715425562691662,0.975182028189766,4,27,10,16,118,0,0.088396633
"50","44_116_4_27",0.253450297576124,0.955750435056561,4,27,10,18,116,0,0.088396633
"51","45_115_4_27",0.372968885446013,0.991565379923322,4,27,10,21,115,0,0.088396633
"52","46_119_4_27",0.579913231855944,0.992180396386141,4,27,10,23,119,0,0.088396633
"53","47_117_4_27",1.08497116581308,0.990591656438183,4,27,10,25,117,0,0.088396633
"54","48_120_4_27",0.875290488574015,0.993868656131828,4,27,10,27,120,0,0.088396633
"55","49_131_4_27",1.52614129491408,0.99896789191467,4,27,10,30,131,0,0.088445978
"56","50_129_4_27",0.337935967302469,0.971245316140871,4,27,10,32,129,0,0.088445978
"57","51_127_4_27",0.341260197882316,0.976306095804174,4,27,10,34,127,0,0.088445978
"58","52_132_4_27",0.869913975489501,0.999368969213154,4,27,10,36,132,0,0.088455847
"59","53_130_4_27",1.2207544986403,0.990458935610257,4,27,10,37,130,0,0.088455847
"60","54_586+595_4_27",0.170723555450958,0.982459887552411,4,27,10,40,586,595,0.088455847
"61","55_587+582_4_27",0.0303778335227486,0.54186549772805,4,27,10,42,587,582,0.088455847
"62","56_592+584_4_27",0.127731975875591,0.912201906601201,4,27,10,45,592,584,0.088455847
"63","57_589+583_4_27",0.0707431012026113,0.930542788075238,4,27,10,47,589,583,0.088455847
"64","58_205+204_4_27",0.0767323597453944,0.911460069289518,4,27,10,51,205,204,0.088455847
"65","59_599+800_4_27",0.308545970028354,0.995614328798976,4,27,10,53,599,800,0.088465716
"66","60_29+30_4_27",0.465888964577657,0.992762590818598,4,27,11,32,29,30,0.088455847
"67","61_33+34_4_27",0.0741827229069032,0.858778050013003,4,27,11,34,33,34,0.088455847
"68","62_13+14_4_27",0.0263475089501543,0.347016496556809,4,27,11,36,13,14,0.088455847
"69","63_25+26_4_27",0.0934773787786543,0.862439426568433,4,27,11,37,25,26,0.088445978
"70","64_21+22_4_27",0.0516723842195615,0.842891664856504,4,27,11,39,21,22,0.088455847
"71","65_17+18_4_27",0.0466656487384072,0.835519142714548,4,27,11,41,17,18,0.088455847
"72","0_17+18_4_27",-1.48461319323447,0.386113564189957,4,27,11,42,17,18,0.088455847
"73","66_12_4_27",0.919935998483316,0.998061294410407,4,27,11,44,12,0,0.088455847
"74","67_133_4_27",0.825558423562503,0.998354115894441,4,27,11,46,133,0,0.088455847
"75","68_6_4_27",1.11584128065395,0.999594973602914,4,27,11,48,6,0,0.088455847
"76","69_8_4_27",0.964360932708441,0.997924090121961,4,27,11,50,8,0,0.088455847
"77","70_11_4_27",0.963008816097696,0.999753592715165,4,27,11,52,11,0,0.088455847
"78","71_7_4_27",0.782843967077225,0.969270056767426,4,27,11,53,7,0,0.088445978
"79","72_48_4_27",0.472524374428488,0.986609190513389,4,27,11,56,48,0,0.088406502
"80","73_46_4_27",1.81577952378319,0.958012410852786,4,27,11,58,46,0,0.088396633
"81","74_44_4_27",0.511008636772593,0.989637694026191,4,27,12,0,44,0,0.088396633
"82","75_47_4_27",1.94121290719043,0.977079934177672,4,27,12,2,47,0,0.088406502
"83","76_45_4_27",0.32103828916061,0.927988184578955,4,27,12,3,45,0,0.088396633
"84","77_43_4_27",0.45817855696349,0.995781185664198,4,27,12,5,43,0,0.088396633
"85","78_65+61_4_27",0.255842667411463,0.992837985126387,4,27,12,7,65,61,0.088396633
"86","79_57+58_4_27",0.185087331009409,0.985052002569846,4,27,12,10,57,58,0.088396633
