"","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","181_198+199_4_28",0.112401883830449,0.781589553031766,4,28,8,11,198,199,0.089403271
"2","182_218+219_4_28",0.0468698910081695,0.834597011081158,4,28,8,13,218,219,0.089423009
"3","183_194+195_4_28",0.08530653950954,0.869521239034649,4,28,8,15,194,195,0.089423009
"4","184_213+214_4_28",0.0886883493369061,0.936219564811382,4,28,8,17,213,214,0.08941314
"5","185_217+221_4_28",0.0583766760729648,0.806560102679235,4,28,8,19,217,221,0.08941314
"6","186_225+226_4_28",0.351177457617311,0.995719172784505,4,28,8,21,225,226,0.089423009
"7","187_152_4_28",0.401060974934988,0.994454919762038,4,28,8,23,152,0,0.08941314
"8","188_154_4_28",0.785266696176643,0.998039055252374,4,28,8,25,154,0,0.08941314
"9","189_156_4_28",1.1761836320744,0.994874722150217,4,28,8,27,156,0,0.08941314
"10","190_157_4_28",0.661013712897066,0.998950858219068,4,28,8,30,157,0,0.08941314
"11","191_153_4_28",0.123940015738878,0.962604173857272,4,28,8,32,153,0,0.08941314
"12","192_155_4_28",0.189025498179073,0.962339994294535,4,28,8,34,155,0,0.08941314
"13","193_145_4_28",0.996490213046924,0.996037701056544,4,28,8,39,145,0,0.089393402
"14","0_145_4_28",-2.22857142857223,0.98766233766228,4,28,8,38,145,0,0.089393402
"15","194_143_4_28",0.313091351740159,0.954669224745628,4,28,8,40,143,0,0.089393402
"16","195_141_4_28",0.112354858664682,0.947891137796264,4,28,8,42,141,0,0.089393402
"17","196_142_4_28",0.629382688725372,0.996845545581802,4,28,8,44,142,0,0.089393402
"18","197_140_4_28",0.143606948228892,0.962806856343713,4,28,8,46,140,0,0.089383533
"19","198_144_4_28",0.869397138964581,0.998888963086877,4,28,8,48,144,0,0.089393402
"20","199_248+249_4_28",0.71656366116132,0.995746638485591,4,28,8,51,248,249,0.089393402
"21","200_238+239_4_28",0.110925136944617,0.924645190393789,4,28,8,52,238,239,0.089393402
"22","201_240+241_4_28",0.144465659897008,0.959313456465031,4,28,8,54,240,241,0.089403271
"23","202_246+247_4_28",0.0197578339696473,0.145885672418005,4,28,8,56,246,247,0.089393402
"24","203_233+232_4_28",0.0985909795725752,0.955252529992932,4,28,8,58,233,232,0.089393402
"25","204_208+229_4_28",0.0395525553772714,0.801453118172045,4,28,9,0,208,229,0.089393402
"26","205_264+267_4_28",0.075659785057427,0.910691316451536,4,28,9,5,264,267,0.089353926
"27","206_257+258_4_28",0.135109228329008,0.978553503373256,4,28,9,7,257,258,0.089353926
"28","207_260+261_4_28",0.112596192790603,0.954321390115481,4,28,9,9,260,261,0.089344057
"29","208_272+273_4_28",0.10261393607406,0.927798689203905,4,28,9,11,272,273,0.089344057
"30","209_268+269_4_28",-0.00273197587562001,0.00352657016623448,4,28,9,12,268,269,0.089353926
"31","210_252+253_4_28",0.0501359717641615,0.906002492881039,4,28,9,14,252,253,0.089344057
"32","211_164_4_28",0.328198229474049,0.991761123087857,4,28,9,17,164,0,0.089344057
"33","212_169_4_28",0.311444558946732,0.996297242936491,4,28,9,20,169,0,0.089353926
"34","0_169_4_28",-1.50000000000197,0.964285714285969,4,28,9,19,169,0,0.089353926
"35","213_168_4_28",0.532011224903083,0.97165945413968,4,28,9,21,168,0,0.089353926
"36","214_167_4_28",0.729598495081797,0.999206616095219,4,28,9,23,167,0,0.089353926
"37","215_177_4_28",0.0713584975889102,0.896052362882293,4,28,9,27,177,0,0.089482223
"38","216_179_4_28",0.767413064861424,0.999131553505384,4,28,9,30,179,0,0.089482223
"39","217_181_4_28",0.48319777199879,0.995085006167427,4,28,9,32,181,0,0.089482223
"40","218_178_4_28",0.89501533298617,0.996796184707112,4,28,9,34,178,0,0.089482223
"41","219_180_4_28",0.667171563474112,0.993475876677828,4,28,9,36,180,0,0.089482223
"42","220_176_4_28",-1.08844807311211,0.97848637097351,4,28,9,37,176,0,0.089482223
"43","221_285+284_4_28",0.0564648081433841,0.913050466079485,4,28,9,46,285,284,0.089541437
"44","222_296+297_4_28",0.389601966912495,0.9047182613868,4,28,9,49,296,297,0.089482223
"45","223_289+288_4_28",-0.0203872258802268,0.263316803980955,4,28,9,53,289,288,0.089482223
"46","224_294+292_4_28",0.160912806539509,0.514982023584388,4,28,9,54,294,292,0.089492092
"47","225_280+281_4_28",0.10300141944119,0.738961461293507,4,28,9,56,280,281,0.089482223
"48","226_278+279_4_28",0.15517752821109,0.689389891964165,4,28,9,58,278,279,0.089492092
"49","227_189_4_28",0.0979800477238182,0.695866120377848,4,28,10,3,189,0,0.089571044
"50","228_188_4_28",0.417579660723322,0.994030811773117,4,28,10,7,188,0,0.089561175
"51","0_188_4_28",-3.07142857142818,0.99730312837108,4,28,10,6,188,0,0.089580913
"52","229_192_4_28",0.396989523967557,0.978737738213436,4,28,10,9,192,0,0.089571044
"53","230_193_4_28",0.513841961852863,0.98795712918555,4,28,10,11,193,0,0.089571044
"54","231_NA_4_28",0.363079019073589,0.995202552615081,4,28,10,13,0,0,0.089571044
