"","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","461","01-P6S1C4FS-F",1.2,1.4,1.1,1.1,42.7,6.17,4.365,20,1.805,28.5791485646137,NA,"01","6","1","4","FS",285.858251532245,77.2888079651466,1,"410_461+462_4_30",0.0714878548110409,0.826508352714688,4,30,8,44,"461",462,0.088258467
"2","456","01-P6S1C2FS-S",1.2,1.3,0.8,0.9,37.8,10.515,6.71,92.5,3.805,35.0585579629385,NA,"01","6","1","2","FS",257.322787871155,68.7940068796867,2,"411_456+457_4_30",0.0672457690579562,0.942815712384633,4,30,8,45,"456",457,0.088258467
"3","475","01-P6S2C4AA-Sp",1.3,1.2,0.9,1,40.9,8.108,7.03,100,1.078,13.7440689030272,NA,"01","6","2","4","AA",282.061974704922,76.9758922468797,3,"412_475+478_4_30",0.0727622615803861,0.944821416327312,4,30,8,48,"475",478,0.088258467
"4","449","01-P6S1C2AA-F",1.1,1.2,1,0.9,35.7,7.515,5.2,98.5,2.315,30.9224168181963,NA,"01","6","1","2","AA",252.027379041842,68.5973300896026,4,"413_449+450_4_30",0,0.305289404978079,4,30,8,49,"449",450,0.088248598
"5","453","01-P6S1C4AA-F",1.2,1.1,1,0.9,37.8,6.96,4.96,100,2,29.0851614853213,NA,"01","6","1","4","AA",263.101058413398,66.6303003893737,5,"414_453+452_4_30",0,0.0488747877423795,4,30,8,52,"453",452,0.088258467
"6","455","01-P6S1C4AA-Sp",1.4,1.3,1.3,1.2,36,6.955,5.65,95,1.305,19.4061184574174,NA,"01","6","1","4","AA",299.078586000843,92.9855138594202,6,"415_455+454_4_30",0.0792987698039386,0.906567854922409,4,30,8,56,"455",454,0.088258467
"7","476","01-P6S2C1FS-S",1.1,0.9,0.8,0.8,39.2,6.6425,4.655,97.5,1.9875,29.5118945058291,NA,"01","6","2","1","FS",236.708315670442,53.0345345821883,7,"416_476+477_4_30",0.0323707841886177,0.538200955832276,4,30,9,0,"476",477,0.088268336
"8","476","01-P6S2C1FS-S",1.1,0.9,0.8,0.8,39.2,6.6425,4.655,97.5,1.9875,29.5118945058291,NA,"01","6","2","1","FS",236.708315670442,53.0345345821883,8,"0_476+477_4_30",0,0.0686147146542881,4,30,8,57,"476",477,0.088248598
"9","484","01-P6S2C2FS-S",1.2,1.1,0.9,0.9,39.4,12.5655,7.765,100,4.8005,37.4348377006901,NA,"01","6","2","2","FS",302.712128727554,94.817062376463,9,"417_484+485_4_30",0.0504481823714879,0.847854935985398,4,30,9,2,"484",485,0.088278205
"10","489","01-P6S2C4FS-F",1.5,1.6,0.9,0.9,43,11.465,7.82,40,3.645,32.346008873348,NA,"01","6","2","4","FS",330.046051777265,104.272078166523,10,"418_489+490_4_30",0.156109943008909,0.976054715693647,4,30,9,4,"489",490,0.088278205
