"","V1","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot...16","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP","Date","Time","DateTime","Loc...36","ReadIndex","TimeZone","T1","T2","T3","Soil_moist","Shake","Err_flag","Code_sens","Sensornumber","Serial","Plot...48","Subplot","Loc...50","T3K","chambervolume","respiration","RespCorrectedArea","RespCorrectedVolume"
"1",1,126,"25-P1S5C4FS",22.5,21.3,22.4,20.8,99.7,1608.3,447.08,40,1161.22,72.2017036622521,NA,25,1,5,4,"FS",7555.5930199657,37043.3664230956,1,"90_126_4_27",0.481656804733729,0.927973110185216,4,27,16,39,126,0,0.88821,"2022-4-27","16:39:00",2022-04-27 16:39:00,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.5637,0.0286906947409182,0.000365301271100622,7.45090957065832e-05
"2",6,121,"25-P1S5C1AA",22.3,21.9,21.2,19.8,100.5,1330.4,882.69,100,447.71,33.6522850270595,NA,25,1,5,1,"AA",7438.92327131174,35827.731858178,6,"25_121_4_27",0.760439560439558,0.955282476859242,4,27,10,6,121,0,0.88821,"2022-4-27","10:6:00",2022-04-27 10:06:00,"1_5",55688,4,5.875,10.5,16.25,2626,202,0,94206488,13,"TMS-94206488",1,5,"1_5",290.4,1.5637,0.0443219760739863,0.000564324926382051,0.000117170962539916
"3",7,122,"25-P1S5C2AA",23.6,23.2,24.4,23.4,99.4,1265.2,765.03,100,500.17,39.5328801770471,NA,25,1,5,2,"AA",8263.99068769675,43667.1383348355,7,"26_122_4_27",0.973626373626375,0.992836364556193,4,27,10,8,122,0,0.88821,"2022-4-27","10:8:00",2022-04-27 10:08:00,"1_5",55697,4,6.0625,8.375,9,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.15,1.5637,0.0582005097523357,0.000741031905404183,0.000140240029437904
"4",8,123,"25-P1S5C4AA",20.8,20.1,18.9,20.8,99.6,900.9,446.72,90,454.18,50.4140304140304,NA,25,1,5,4,"AA",6942.93658419069,31763.7236191971,8,"27_123_4_27",1.29450549450549,0.997057006136028,4,27,10,10,123,0,0.88821,"2022-4-27","10:10:00",2022-04-27 10:10:00,"1_5",55697,4,6.0625,8.375,9,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.15,1.5637,0.0773817161266943,0.000985254610119778,0.000215357631219562
"5",9,124,"25-P1S5C1FS",28.1,24.6,26.2,22.6,100.4,2083.3,1260.38,100,822.92,39.5007920126722,NA,25,1,5,1,"FS",9016.97018149604,50798.3224896249,9,"28_124_4_27",0.329670329670325,0.901442307692312,4,27,10,13,124,0,0.88821,"2022-4-27","10:13:00",2022-04-27 10:13:00,"1_5",55697,4,6.0625,8.375,9,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.15,1.5637,0.0197067188777657,0.000250913737721503,4.45385119090222e-05
"6",10,125,"25-P1S5C2FS",19.8,22.2,20.1,19.8,100.1,1279.7,811.14,100,468.56,36.6148316011565,NA,25,1,5,2,"FS",7097.88294926561,32966.052557479,10,"29_125_4_27",0.56703296703296,0.97715795654727,4,27,10,15,125,0,0.88821,"2022-4-27","10:15:00",2022-04-27 10:15:00,"1_5",55693,4,6,9.375,11,2619,202,0,94206488,13,"TMS-94206488",1,5,"1_5",285.15,1.5637,0.0336578180410722,0.000428544649193937,9.22694566845423e-05
"7",11,126,"25-P1S5C4FS",22.5,21.3,22.4,20.8,99.7,1608.3,447.08,40,1161.22,72.2017036622521,NA,25,1,5,4,"FS",7555.5930199657,37043.3664230956,11,"30_126_4_27",0.501098901098902,0.925641025641026,4,27,10,18,126,0,0.88821,"2022-4-27","10:18:00",2022-04-27 10:18:00,"1_5",55689,4,5.875,10.9375,15,2627,202,0,94206488,13,"TMS-94206488",1,5,"1_5",289.15,1.5637,0.029332648536621,0.000373474880686439,7.61762354268009e-05
"8",36,121,"25-P1S5C1AA",22.3,21.9,21.2,19.8,100.5,1330.4,882.69,100,447.71,33.6522850270595,NA,25,1,5,1,"AA",7438.92327131174,35827.731858178,36,"55_121_4_27",1.12307692307691,0.995106800556392,4,27,12,51,121,0,0.88821,"2022-4-27","12:51:00",2022-04-27 12:51:00,"1_5",55699,4,6.125,8.25,9.0625,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.2125,1.5637,0.0671194069723223,0.000854590831763337,0.000177438964068914
"9",37,122,"25-P1S5C2AA",23.6,23.2,24.4,23.4,99.4,1265.2,765.03,100,500.17,39.5328801770471,NA,25,1,5,2,"AA",8263.99068769675,43667.1383348355,37,"56_122_4_27",0,0.169407341716353,4,27,12,53,122,0,0.8872231,"2022-4-27","12:53:00",2022-04-27 12:53:00,"1_5",55699,4,6.125,8.25,9.0625,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.2125,1.5637,0,0,0
"10",38,123,"25-P1S5C4AA",20.8,20.1,18.9,20.8,99.6,900.9,446.72,90,454.18,50.4140304140304,NA,25,1,5,4,"AA",6942.93658419069,31763.7236191971,38,"57_123_4_27",1.4043956043956,0.993808185170311,4,27,12,55,123,0,0.8872231,"2022-4-27","12:55:00",2022-04-27 12:55:00,"1_5",55699,4,6.125,8.25,9.0625,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.2125,1.5637,0.0838388381142152,0.00106746924071668,0.00023332816179621
"11",39,124,"25-P1S5C1FS",28.1,24.6,26.2,22.6,100.4,2083.3,1260.38,100,822.92,39.5007920126722,NA,25,1,5,1,"FS",9016.97018149604,50798.3224896249,39,"58_124_4_27",0.325274725274712,0.936068376068378,4,27,12,58,124,0,0.88821,"2022-4-27","12:58:00",2022-04-27 12:58:00,"1_5",55699,4,6.125,8.25,9.0625,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.2125,1.5637,0.0194396716866994,0.000247513587281742,4.39349672716145e-05
"12",40,125,"25-P1S5C2FS",19.8,22.2,20.1,19.8,100.1,1279.7,811.14,100,468.56,36.6148316011565,NA,25,1,5,2,"FS",7097.88294926561,32966.052557479,40,"59_125_4_27",0.637362637362629,0.974281742354032,4,27,13,0,125,0,0.88821,"2022-4-27","13:0:00",2022-04-27 13:00:00,"1_5",55704,4,6.125,8.5,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.5637,0.0379655735953878,0.000483392696402009,0.00010407872679354
"13",41,126,"25-P1S5C4FS",22.5,21.3,22.4,20.8,99.7,1608.3,447.08,40,1161.22,72.2017036622521,NA,25,1,5,4,"FS",7555.5930199657,37043.3664230956,41,"60_126_4_27",0.560439560439554,0.965120593692023,4,27,13,2,126,0,0.88821,"2022-4-27","13:2:00",2022-04-27 13:02:00,"1_5",55700,4,6.125,8.25,9.4375,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.5875,1.5637,0.0334497383185329,0.000425895295881992,8.68682259611245e-05
"14",66,121,"25-P1S5C1AA",22.3,21.9,21.2,19.8,100.5,1330.4,882.69,100,447.71,33.6522850270595,NA,25,1,5,1,"AA",7438.92327131174,35827.731858178,66,"85_121_4_27",0.870329670329671,0.99037514209928,4,27,16,15,121,0,0.88821,"2022-4-27","16:15:00",2022-04-27 16:15:00,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.5637,0.0518426453233579,0.000660081061293787,0.000137052839047909
