"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Code_sens","sensornumber","Serial","Plot","Subplot"
"1",1,"2021.07.28 00:00",4,15.625,18.375,20,2025,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"2",2,"2021.07.28 00:15",4,15.625,18.25,19.875,2025,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"3",3,"2021.07.28 00:30",4,15.625,18.1875,19.75,2025,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"4",4,"2021.07.28 00:45",4,15.625,18.125,19.875,2025,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"5",5,"2021.07.28 01:00",4,15.625,18.125,19.875,2025,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"6",6,"2021.07.28 01:15",4,15.625,18.125,19.9375,2025,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"7",7,"2021.07.28 01:30",4,15.625,18.125,19.6875,2025,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"8",8,"2021.07.28 01:45",4,15.625,18.0625,19.5,2025,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"9",9,"2021.07.28 02:00",4,15.625,18,19.5,2025,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"10",10,"2021.07.28 02:15",4,15.625,18,19.5625,2025,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"11",11,"2021.07.28 02:30",4,15.625,17.9375,19.5,2025,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"12",12,"2021.07.28 02:45",4,15.625,17.875,19.5,2025,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"13",13,"2021.07.28 03:00",4,15.625,17.875,19.5,2027,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"14",14,"2021.07.28 03:15",4,15.625,17.875,19.375,2025,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"15",15,"2021.07.28 03:30",4,15.5625,17.875,19.375,2026,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"16",16,"2021.07.28 03:45",4,15.5625,17.875,19.375,2025,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"17",17,"2021.07.28 04:00",4,15.5625,17.8125,19.375,2025,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
"18",18,"2021.07.28 04:15",4,15.5625,17.875,19.5,2025,202,0,NA,"94206477",27,"TMS-94206477",6,"3"
