"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Code_sens","sensornumber","Serial","Plot","Subplot"
"1",1,"2021.07.27 00:00",4,15.0625,18.5,20.5,2056,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"2",2,"2021.07.27 00:15",4,15.0625,18.5625,20.75,2056,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"3",3,"2021.07.27 00:30",4,15.0625,18.5,20.375,2056,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"4",4,"2021.07.27 00:45",4,15.0625,18.5,20.5625,2057,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"5",5,"2021.07.27 01:00",4,15.0625,18.5,20.3125,2056,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"6",6,"2021.07.27 01:15",4,15.0625,18.375,20.25,2056,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"7",7,"2021.07.27 01:30",4,15,18.375,20.25,2056,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"8",8,"2021.07.27 01:45",4,15,18.4375,20.5,2055,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"9",9,"2021.07.27 02:00",4,15,18.375,20.1875,2055,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"10",10,"2021.07.27 02:15",4,15,18.375,20.375,2055,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"11",11,"2021.07.27 02:30",4,15,18.4375,20.5,2055,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"12",12,"2021.07.27 02:45",4,15,18.5,20.375,2056,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"13",13,"2021.07.27 03:00",4,15,18.4375,20.125,2055,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"14",14,"2021.07.27 03:15",4,15,18.375,20.375,2057,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"15",15,"2021.07.27 03:30",4,15,18.375,20.125,2058,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"16",16,"2021.07.27 03:45",4,15,18.5,20.625,2057,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"17",17,"2021.07.27 04:00",4,15,18.5,20.3125,2058,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"18",18,"2021.07.27 04:15",4,15,18.625,20.75,2058,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"19",19,"2021.07.27 04:30",4,15,18.75,20.5,2058,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"20",20,"2021.07.27 04:45",4,15,18.6875,20.6875,2058,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"21",21,"2021.07.27 05:00",4,15,18.875,20.9375,2057,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"22",22,"2021.07.27 05:15",4,15,18.875,20.875,2057,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"23",23,"2021.07.27 05:30",4,15,18.875,21,2056,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"24",24,"2021.07.27 05:45",4,15,18.9375,20.625,2056,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"25",25,"2021.07.27 06:00",4,15,18.8125,20.625,2056,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"26",26,"2021.07.27 06:15",4,15,18.9375,20.75,2056,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"27",27,"2021.07.27 06:30",4,15,19,21,2056,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"28",28,"2021.07.27 06:45",4,15,19,20.875,2056,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"29",29,"2021.07.27 07:00",4,15.0625,19.0625,20.875,2055,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"30",30,"2021.07.27 07:15",4,15.0625,19.125,20.9375,2055,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"31",31,"2021.07.27 07:30",4,15.125,19.375,21.25,2055,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"32",32,"2021.07.27 07:45",4,15.125,19.375,21.3125,2055,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"33",33,"2021.07.27 08:00",4,15.125,19.5,21.5625,2055,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"34",34,"2021.07.27 08:15",4,15.125,19.625,21.8125,2055,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"35",35,"2021.07.27 08:30",4,15.125,19.8125,22.25,2055,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"36",36,"2021.07.27 08:45",4,15.1875,19.875,22.125,2055,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"37",37,"2021.07.27 09:00",4,15.1875,19.9375,21.875,2054,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"38",38,"2021.07.27 09:15",4,15.25,20,21.9375,2054,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"39",39,"2021.07.27 09:30",4,15.25,20.25,22.3125,2054,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"40",40,"2021.07.27 09:45",4,15.25,20.25,22.1875,2054,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"41",41,"2021.07.27 10:00",4,15.3125,20.25,22.375,2054,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"42",42,"2021.07.27 10:15",4,15.3125,20.375,22.375,2054,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"43",43,"2021.07.27 10:30",4,15.375,20.5,22.5,2054,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"44",44,"2021.07.27 10:45",4,15.375,20.5625,22.625,2053,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"45",45,"2021.07.27 11:00",4,15.375,20.6875,22.875,2053,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"46",46,"2021.07.27 11:15",4,15.4375,21.25,23.375,2054,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"47",47,"2021.07.27 11:30",4,15.5,21.25,23.1875,2054,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"48",48,"2021.07.27 11:45",4,15.5,21.125,23.125,2053,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"49",49,"2021.07.27 12:00",4,15.5,21.125,23.375,2053,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"50",50,"2021.07.27 12:15",4,15.5625,21.125,23.1875,2052,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"51",51,"2021.07.27 12:30",4,15.625,21.125,22.9375,2052,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"52",52,"2021.07.27 12:45",4,15.625,21,22.75,2051,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"53",53,"2021.07.27 13:00",4,15.625,21,22.9375,2051,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"54",54,"2021.07.27 13:15",4,15.6875,20.75,22.5,2050,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"55",55,"2021.07.27 13:30",4,15.75,20.5,22.125,2050,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
"56",56,"2021.07.27 13:45",4,15.75,20.375,22.25,2049,202,0,NA,"94206489",14,"TMS-94206489",1,"1"
