"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Code_sens","sensornumber","Serial","Plot","Subplot"
"1",1,"2021.07.25 00:00",4,13.3125,14,14.5,1916,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"2",2,"2021.07.25 00:15",4,13.25,14,14.5,1916,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"3",3,"2021.07.25 00:30",4,13.25,14,14.5,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"4",4,"2021.07.25 00:45",4,13.25,13.9375,14.5,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"5",5,"2021.07.25 01:00",4,13.25,13.875,14.5,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"6",6,"2021.07.25 01:15",4,13.25,13.875,14.5,1917,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"7",7,"2021.07.25 01:30",4,13.25,13.875,14.4375,1917,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"8",8,"2021.07.25 01:45",4,13.25,13.875,14.375,1916,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"9",9,"2021.07.25 02:00",4,13.25,13.875,14.375,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"10",10,"2021.07.25 02:15",4,13.25,13.875,14.375,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"11",11,"2021.07.25 02:30",4,13.25,13.875,14.4375,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"12",12,"2021.07.25 02:45",4,13.25,13.875,14.5,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"13",13,"2021.07.25 03:00",4,13.25,13.875,14.5,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"14",14,"2021.07.25 03:15",4,13.1875,13.875,14.5,1914,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"15",15,"2021.07.25 03:30",4,13.1875,13.875,14.625,1914,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"16",16,"2021.07.25 03:45",4,13.1875,13.875,14.625,1914,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"17",17,"2021.07.25 04:00",4,13.1875,14,14.75,1914,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"18",18,"2021.07.25 04:15",4,13.1875,14.0625,14.9375,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"19",19,"2021.07.25 04:30",4,13.125,14.125,15.125,1914,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"20",20,"2021.07.25 04:45",4,13.125,14.3125,15.375,1914,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"21",21,"2021.07.25 05:00",4,13.125,14.375,15.5,1914,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"22",22,"2021.07.25 05:15",4,13.125,14.5625,15.75,1914,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"23",23,"2021.07.25 05:30",4,13.125,14.625,15.875,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"24",24,"2021.07.25 05:45",4,13.125,14.75,16.125,1914,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"25",25,"2021.07.25 06:00",4,13.125,14.875,16.25,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"26",26,"2021.07.25 06:15",4,13.1875,15,16.375,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"27",27,"2021.07.25 06:30",4,13.1875,15,16.5,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"28",28,"2021.07.25 06:45",4,13.1875,15.125,16.6875,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"29",29,"2021.07.25 07:00",4,13.25,15.1875,16.75,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"30",30,"2021.07.25 07:15",4,13.25,15.25,16.75,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"31",31,"2021.07.25 07:30",4,13.25,15.25,16.8125,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"32",32,"2021.07.25 07:45",4,13.25,15.375,17,1915,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"33",33,"2021.07.25 08:00",4,13.25,15.5,17.125,1916,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"34",34,"2021.07.25 08:15",4,13.25,15.5625,17.3125,1916,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"35",35,"2021.07.25 08:30",4,13.25,15.625,17.5,1918,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"36",36,"2021.07.25 08:45",4,13.3125,15.75,17.625,1916,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"37",37,"2021.07.25 09:00",4,13.3125,15.875,18,1919,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"38",38,"2021.07.25 09:15",4,13.3125,16.125,18.375,1918,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"39",39,"2021.07.25 09:30",4,13.375,16.25,18.625,1917,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"40",40,"2021.07.25 09:45",4,13.375,16.4375,18.9375,1919,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"41",41,"2021.07.25 10:00",4,13.375,16.4375,18.6875,1919,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"42",42,"2021.07.25 10:15",4,13.375,16.375,18.25,1919,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"43",43,"2021.07.25 10:30",4,13.4375,16.3125,18.25,1919,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"44",44,"2021.07.25 10:45",4,13.4375,16.3125,18.25,1919,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"45",45,"2021.07.25 11:00",4,13.5,16.375,18.5,1919,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"46",46,"2021.07.25 11:15",4,13.5,16.4375,18.5625,1919,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"47",47,"2021.07.25 11:30",4,13.5,16.625,18.9375,1919,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"48",48,"2021.07.25 11:45",4,13.5,16.625,18.875,1919,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"49",49,"2021.07.25 12:00",4,13.5,16.5625,18.75,1919,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"50",50,"2021.07.25 12:15",4,13.5625,16.625,19,1919,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"51",51,"2021.07.25 12:30",4,13.5625,16.75,19.125,1920,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"52",52,"2021.07.25 12:45",4,13.625,16.6875,18.875,1919,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"53",53,"2021.07.25 13:00",4,13.625,16.625,18.875,1920,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"54",54,"2021.07.25 13:15",4,13.625,16.625,18.875,1920,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"55",55,"2021.07.25 13:30",4,13.625,16.625,18.875,1920,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"56",56,"2021.07.25 13:45",4,13.625,16.625,18.875,1922,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"57",57,"2021.07.25 14:00",4,13.625,16.625,18.75,1920,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"58",58,"2021.07.25 14:15",4,13.6875,16.5,18.5,1920,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"59",59,"2021.07.25 14:30",4,13.6875,16.5,18.375,1920,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"60",60,"2021.07.25 14:45",4,13.6875,16.4375,18.3125,1920,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"61",61,"2021.07.25 15:00",4,13.6875,16.375,18.25,1920,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"62",62,"2021.07.25 15:15",4,13.75,16.3125,18.0625,1920,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"63",63,"2021.07.25 15:30",4,13.75,16.25,17.875,1921,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
"64",64,"2021.07.25 15:45",4,13.75,16.125,17.75,1919,202,0,NA,"94206490",15,"TMS-94206490",3,"1"
