"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","Code_sens","sensornumber","Serial","Plot","Subplot"
"1",NA,"V1","V4","V5","V6","V7","V8","V9","V10","V11","V2","94206486",11,"TMS-94206486",1,"2"
"2",1,"1","27-7-21 0:00","4","14.75","17.125","19.75","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"3",2,"2","27-7-21 0:15","4","14.75","17.125","19.8125","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"4",3,"3","27-7-21 0:30","4","14.75","17.125","19.8125","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"5",4,"4","27-7-21 0:45","4","14.6875","17.125","19.75","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"6",5,"5","27-7-21 1:00","4","14.6875","17.125","19.75","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"7",6,"6","27-7-21 1:15","4","14.6875","17.0625","19.625","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"8",7,"7","27-7-21 1:30","4","14.6875","17.0625","19.75","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"9",8,"8","27-7-21 1:45","4","14.6875","17.0625","19.75","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"10",9,"9","27-7-21 2:00","4","14.6875","17.0625","19.75","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"11",10,"10","27-7-21 2:15","4","14.6875","17.0625","19.6875","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"12",11,"11","27-7-21 2:30","4","14.6875","17","19.5","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"13",12,"12","27-7-21 2:45","4","14.6875","17.0625","19.75","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"14",13,"13","27-7-21 3:00","4","14.6875","17.0625","19.75","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"15",14,"14","27-7-21 3:15","4","14.6875","17.0625","19.75","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"16",15,"15","27-7-21 3:30","4","14.6875","17.125","19.75","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"17",16,"16","27-7-21 3:45","4","14.6875","17.0625","19.75","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"18",17,"17","27-7-21 4:00","4","14.6875","17.125","19.75","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"19",18,"18","27-7-21 4:15","4","14.6875","17.125","19.8125","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"20",19,"19","27-7-21 4:30","4","14.6875","17.125","19.9375","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"21",20,"20","27-7-21 4:45","4","14.6875","17.25","20","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"22",21,"21","27-7-21 5:00","4","14.6875","17.25","20.25","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"23",22,"22","27-7-21 5:15","4","14.6875","17.3125","20.3125","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"24",23,"23","27-7-21 5:30","4","14.6875","17.375","20.1875","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"25",24,"24","27-7-21 5:45","4","14.6875","17.375","20.375","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"26",25,"25","27-7-21 6:00","4","14.6875","17.375","20.3125","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"27",26,"26","27-7-21 6:15","4","14.6875","17.375","20.375","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"28",27,"27","27-7-21 6:30","4","14.6875","17.5","20.5625","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"29",28,"28","27-7-21 6:45","4","14.75","17.4375","20.375","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
"30",29,"29","27-7-21 7:00","4","14.75","17.4375","20.375","2645","202","0",NA,"94206486",11,"TMS-94206486",1,"2"
